iteration,reward_mean,length_mean,games,loss
36500,7.25,10.25,8.0,0.018154408782720566
37000,4.38,7.38,8.0,0.04017234966158867
37500,6.62,9.62,8.0,0.026309464126825333
38000,6.5,9.5,8.0,0.0567331537604332
38500,5.38,8.38,8.0,0.0152211282402277
39000,8.88,11.88,8.0,0.08602242171764374
39500,6.12,9.12,8.0,0.032184209674596786
40000,5.75,8.75,8.0,0.037881843745708466
40500,5.75,8.75,8.0,0.049562353640794754
41000,8.75,11.75,8.0,0.07247085869312286
41500,6.12,9.12,8.0,0.01952488161623478
42000,7.88,10.88,8.0,0.051266029477119446
42500,6.25,9.25,8.0,0.078212670981884
43000,9.38,12.38,8.0,0.031876154243946075
43500,5.25,8.25,8.0,0.022361699491739273
44000,9.88,12.88,8.0,0.05944404378533363
44500,10.0,13.0,8.0,0.08142192661762238
45000,10.0,13.0,8.0,0.056211091578006744
45500,8.88,11.88,8.0,0.032283537089824677
46000,7.88,10.88,8.0,0.017471620813012123
46500,11.38,14.38,8.0,0.021056052297353745
47000,7.75,10.75,8.0,0.12828972935676575
47500,8.12,11.12,8.0,0.05147147551178932
48000,8.0,11.0,8.0,0.026675928384065628
48500,8.0,11.0,8.0,0.03717615455389023
49000,8.0,11.0,8.0,0.03188750892877579
49500,9.25,12.25,8.0,0.05713276565074921
50000,8.88,11.88,8.0,0.10510697960853577
50500,10.38,13.38,8.0,0.040759723633527756
51000,7.0,10.0,8.0,0.03858069330453873
51500,11.25,14.25,8.0,0.046030618250370026
52000,10.12,13.12,8.0,0.03136186674237251
52500,17.25,20.25,8.0,0.04960526153445244
53000,9.88,12.88,8.0,0.025907915085554123
53500,12.88,15.88,8.0,0.05570688843727112
54000,11.5,14.5,8.0,0.024883659556508064
54500,7.12,10.12,8.0,0.049032941460609436
55000,8.0,11.0,8.0,0.023449167609214783
55500,11.38,14.38,8.0,0.04170866683125496
56000,9.25,12.25,8.0,0.050572335720062256
56500,8.0,11.0,8.0,0.06817279756069183
57000,14.25,17.25,8.0,0.05836161971092224
57500,10.12,13.12,8.0,0.028116920962929726
58000,19.38,22.38,8.0,0.02729065716266632
58500,18.25,21.25,8.0,0.02104950323700905
59000,12.62,15.62,8.0,0.05361972004175186
59500,9.0,12.0,8.0,0.03330408036708832
60000,12.12,15.12,8.0,0.0173052791506052
60500,9.88,12.88,8.0,0.06426111608743668
61000,16.88,19.88,8.0,0.061200737953186035
61500,5.38,8.38,8.0,0.11706628650426865
62000,12.38,15.38,8.0,0.019309069961309433
62500,10.88,13.88,8.0,0.02313176915049553
63000,18.38,21.38,8.0,0.047288309782743454
63500,15.0,18.0,8.0,0.09235642105340958
64000,8.88,11.88,8.0,0.024900294840335846
64500,18.12,21.12,8.0,0.04001636058092117
65000,14.88,17.88,8.0,0.02764907479286194
65500,14.25,17.25,8.0,0.04171833395957947
66000,13.62,16.62,8.0,0.03653349354863167
66500,19.62,22.62,8.0,0.03299438953399658
67000,13.25,16.25,8.0,0.0330287329852581
67500,12.5,15.5,8.0,0.03572729229927063
68000,13.12,16.12,8.0,0.057613804936409
68500,15.25,18.25,8.0,0.12787233293056488
69000,13.0,16.0,8.0,0.12760916352272034
69500,16.5,19.5,8.0,0.025195378810167313
70000,12.12,15.12,8.0,0.03719256445765495
70500,9.5,12.5,8.0,0.03296523168683052
71000,17.5,20.5,8.0,0.030020589008927345
71500,17.88,20.88,8.0,0.023153219372034073
72000,15.12,18.12,8.0,0.10948991775512695
72500,14.5,17.5,8.0,0.025560375303030014
73000,15.25,18.25,8.0,0.027054816484451294
73500,17.75,20.75,8.0,0.07083801180124283
74000,15.12,18.12,8.0,0.08366246521472931
74500,17.38,20.38,8.0,0.016508709639310837
75000,15.75,18.75,8.0,0.10388454049825668
75500,15.88,18.88,8.0,0.050927262753248215
76000,15.25,18.25,8.0,0.06115250289440155
76500,15.75,18.75,8.0,0.07310690730810165
77000,17.75,20.75,8.0,0.043455250561237335
77500,12.88,15.88,8.0,0.027849353849887848
78000,18.5,21.5,8.0,0.1164650246500969
78500,18.88,21.88,8.0,0.03867020457983017
79000,11.88,14.88,8.0,0.057686176151037216
79500,17.5,20.5,8.0,0.09045884758234024
80000,10.5,13.5,8.0,0.03698716312646866
80500,13.0,16.0,8.0,0.05901562422513962
81000,16.38,19.38,8.0,0.07904010266065598
81500,17.12,20.12,8.0,0.11037692427635193
82000,15.38,18.38,8.0,0.03511952608823776
82500,11.62,14.62,8.0,0.11180248856544495
83000,11.5,14.5,8.0,0.024211138486862183
83500,14.88,17.88,8.0,0.0415433868765831
84000,10.38,13.38,8.0,0.07094765454530716
84500,17.12,20.12,8.0,0.04406895488500595
85000,11.62,14.62,8.0,0.04510436952114105
85500,16.25,19.25,8.0,0.026315748691558838
86000,14.0,17.0,8.0,0.039816658943891525
86500,14.0,17.0,8.0,0.0860133171081543
87000,19.88,22.88,8.0,0.12984713912010193
87500,17.62,20.62,8.0,0.05707239359617233
88000,21.75,24.75,8.0,0.05565299838781357
88500,10.12,13.12,8.0,0.019720256328582764
89000,20.88,23.88,8.0,0.06917422264814377
89500,12.12,15.12,8.0,0.03669963777065277
90000,14.38,17.38,8.0,0.11205197125673294
90500,16.38,19.38,8.0,0.03601690009236336
91000,14.0,17.0,8.0,0.06417684257030487
91500,13.88,16.88,8.0,0.03881349414587021
92000,10.25,13.25,8.0,0.020703960210084915
92500,14.0,17.0,8.0,0.072804756462574
93000,9.38,12.38,8.0,0.07396672666072845
93500,14.5,17.5,8.0,0.02370116114616394
94000,16.75,19.75,8.0,0.01911882311105728
94500,15.25,18.25,8.0,0.038657695055007935
95000,14.88,17.88,8.0,0.05224187672138214
95500,15.5,18.5,8.0,0.03276741877198219
96000,12.12,15.12,8.0,0.06997551769018173
96500,17.5,20.5,8.0,0.029233552515506744
97000,13.62,16.62,8.0,0.06986552476882935
97500,16.75,19.75,8.0,0.0609765350818634
98000,9.75,12.75,8.0,0.021460281684994698
98500,12.62,15.62,8.0,0.16947387158870697
99000,19.0,22.0,8.0,0.03984355181455612
99500,14.12,17.12,8.0,0.021172059699892998
100000,15.75,18.75,8.0,0.06877276301383972
100500,13.88,16.88,8.0,0.04619179293513298
101000,15.88,18.88,8.0,0.06839064508676529
101500,10.0,13.0,8.0,0.1605001986026764
102000,12.25,15.25,8.0,0.13922515511512756
102500,12.88,15.88,8.0,0.01993625983595848
103000,17.62,20.62,8.0,0.07431948184967041
103500,12.5,15.5,8.0,0.05943569168448448
104000,14.5,17.5,8.0,0.1395217776298523
104500,14.88,17.88,8.0,0.039518728852272034
105000,14.38,17.38,8.0,0.14111053943634033
105500,18.12,21.12,8.0,0.04926379770040512
106000,14.25,17.25,8.0,0.09475462883710861
106500,15.62,18.62,8.0,0.06125830113887787
107000,10.75,13.75,8.0,0.10725735127925873
107500,20.62,23.62,8.0,0.06873545795679092
108000,16.25,19.25,8.0,0.060297876596450806
108500,14.75,17.75,8.0,0.0333709716796875
109000,19.62,22.62,8.0,0.060762226581573486
109500,15.5,18.5,8.0,0.12095943838357925
110000,16.25,19.25,8.0,0.08145876228809357
110500,12.88,15.88,8.0,0.021479468792676926
111000,19.88,22.88,8.0,0.04256194829940796
111500,16.25,19.25,8.0,0.057756874710321426
112000,16.88,19.88,8.0,0.04909414052963257
112500,15.0,18.0,8.0,0.026988117024302483
113000,18.25,21.25,8.0,0.0739520937204361
113500,18.5,21.5,8.0,0.15092940628528595
114000,20.75,23.75,8.0,0.15057356655597687
114500,13.5,16.5,8.0,0.06406807899475098
115000,15.25,18.25,8.0,0.029258672147989273
115500,20.0,23.0,8.0,0.08456644415855408
116000,10.88,13.88,8.0,0.031403928995132446
116500,14.38,17.38,8.0,0.021613553166389465
117000,16.0,19.0,8.0,0.0596119649708271
117500,16.5,19.5,8.0,0.10761309415102005
118000,13.88,16.88,8.0,0.0429205559194088
118500,13.56,16.56,9.0,0.04203861206769943
119000,17.75,20.75,8.0,0.2661762833595276
119500,22.88,25.88,8.0,0.11675314605236053
120000,16.5,19.5,8.0,0.07158840447664261
120500,17.38,20.38,8.0,0.04088110104203224
121000,15.62,18.62,8.0,0.05423716828227043
121500,16.38,19.38,8.0,0.05366894602775574
122000,17.38,20.38,8.0,0.09689468145370483
122500,14.75,17.75,8.0,0.05472932755947113
123000,20.12,23.12,8.0,0.1101377084851265
123500,18.0,21.0,8.0,0.04518791660666466
124000,20.75,23.75,8.0,0.11448201537132263
124500,10.12,13.12,8.0,0.06907151639461517
125000,14.12,17.12,8.0,0.08685965090990067
125500,15.88,18.88,8.0,0.025913046672940254
126000,13.75,16.75,8.0,0.03484579920768738
126500,16.88,19.88,8.0,0.1340939849615097
127000,14.88,17.88,8.0,0.07989256829023361
127500,17.25,20.25,8.0,0.025540579110383987
128000,15.5,18.5,8.0,0.05228911712765694
128500,14.5,17.5,8.0,0.09354158490896225
129000,17.38,20.38,8.0,0.0486392080783844
129500,17.38,20.38,8.0,0.15316154062747955
130000,18.5,21.5,8.0,0.06898005306720734
130500,17.38,20.38,8.0,0.024457897990942
131000,14.62,17.62,8.0,0.07702680677175522
131500,12.88,15.88,8.0,0.026789851486682892
132000,18.0,21.0,8.0,0.0832967460155487
132500,16.25,19.25,8.0,0.0319371297955513
133000,16.62,19.62,8.0,0.20541536808013916
133500,12.5,15.5,8.0,0.05631430819630623
134000,17.25,20.25,8.0,0.024582142010331154
134500,21.12,24.12,8.0,0.11710596084594727
135000,16.12,19.12,8.0,0.028292473405599594
135500,21.38,24.38,8.0,0.09316094219684601
136000,14.38,17.38,8.0,0.05617407336831093
136500,15.25,18.25,8.0,0.041434962302446365
137000,13.12,16.12,8.0,0.07126035541296005
137500,15.12,18.12,8.0,0.1467508226633072
138000,21.0,24.0,8.0,0.06461294740438461
138500,19.25,22.25,8.0,0.03756847232580185
139000,16.25,19.25,8.0,0.032200250774621964
139500,12.62,15.62,8.0,0.18573987483978271
140000,16.5,19.5,8.0,0.10555444657802582
140500,18.12,21.12,8.0,0.024193018674850464
141000,14.88,17.88,8.0,0.17402030527591705
141500,18.12,21.12,8.0,0.07736034691333771
142000,19.0,22.0,8.0,0.034388452768325806
142500,11.25,14.25,8.0,0.12203241884708405
143000,14.62,17.62,8.0,0.1151508018374443
143500,20.12,23.12,8.0,0.045931071043014526
144000,12.5,15.5,8.0,0.037043534219264984
144500,15.0,18.0,8.0,0.08531710505485535
145000,19.0,22.0,8.0,0.0788043737411499
145500,17.0,20.0,8.0,0.0580638088285923
146000,17.25,20.25,8.0,0.065657839179039
146500,11.38,14.38,8.0,0.05025554448366165
147000,16.5,19.5,8.0,0.08926146477460861
147500,16.12,19.12,8.0,0.19163112342357635
148000,17.38,20.38,8.0,0.025056570768356323
148500,17.88,20.88,8.0,0.03237573802471161
149000,17.12,20.12,8.0,0.06214344874024391
149500,15.38,18.38,8.0,0.03943804278969765
150000,17.5,20.5,8.0,0.019968360662460327
150500,15.75,18.75,8.0,0.10990682244300842
151000,18.12,21.12,8.0,0.04527949541807175
151500,13.62,16.62,8.0,0.04264865815639496
152000,18.0,21.0,8.0,0.14061054587364197
152500,17.62,20.62,8.0,0.020523183047771454
153000,12.0,15.0,8.0,0.1247628778219223
153500,16.0,19.0,8.0,0.024341285228729248
154000,10.5,13.5,8.0,0.03289328143000603
154500,20.38,23.38,8.0,0.11004198342561722
155000,24.38,27.38,8.0,0.03631572797894478
155500,13.62,16.62,8.0,0.05028204619884491
156000,16.25,19.25,8.0,0.014094238169491291
156500,11.25,14.25,8.0,0.039843298494815826
157000,12.5,15.5,8.0,0.04353193938732147
157500,15.88,18.88,8.0,0.052088554948568344
158000,13.75,16.75,8.0,0.029673781245946884
158500,13.25,16.25,8.0,0.09218176454305649
159000,16.12,19.12,8.0,0.053065016865730286
159500,19.75,22.75,8.0,0.055120937526226044
160000,20.5,23.5,8.0,0.08147211372852325
160500,13.25,16.25,8.0,0.030500154942274094
161000,20.88,23.88,8.0,0.043753936886787415
161500,16.12,19.12,8.0,0.050412870943546295
162000,15.88,18.88,8.0,0.04848778247833252
162500,19.75,22.75,8.0,0.019893508404493332
163000,19.62,22.62,8.0,0.026036474853754044
163500,16.25,19.25,8.0,0.06573587656021118
164000,19.12,22.12,8.0,0.07815547287464142
164500,14.12,17.12,8.0,0.07981805503368378
165000,16.62,19.62,8.0,0.028914799913764
165500,18.88,21.88,8.0,0.03382061421871185
166000,7.5,10.5,8.0,0.060139380395412445
166500,21.22,24.22,9.0,0.06671768426895142
167000,11.75,14.75,8.0,0.040997087955474854
167500,14.62,17.62,8.0,0.05755483731627464
168000,17.38,20.38,8.0,0.023924242705106735
168500,12.56,15.56,9.0,0.025506652891635895
169000,16.25,19.25,8.0,0.020184241235256195
169500,13.0,16.0,8.0,0.01857984997332096
170000,16.75,19.75,8.0,0.027510950341820717
170500,19.75,22.75,8.0,0.05831031873822212
171000,16.38,19.38,8.0,0.030861837789416313
171500,23.88,26.88,8.0,0.13376304507255554
172000,21.5,24.5,8.0,0.08729202300310135
172500,13.5,16.5,8.0,0.03728092461824417
173000,18.0,21.0,8.0,0.030506959185004234
173500,16.25,19.25,8.0,0.04430404305458069
174000,8.25,11.25,8.0,0.04629485681653023
174500,20.25,23.25,8.0,0.05724893510341644
175000,26.25,29.25,8.0,0.10763712227344513
175500,14.25,17.25,8.0,0.016150830313563347
176000,18.62,21.62,8.0,0.03465316444635391
176500,19.25,22.25,8.0,0.07468794286251068
177000,19.12,22.12,8.0,0.026901427656412125
177500,18.75,21.75,8.0,0.07442055642604828
178000,22.0,25.0,8.0,0.08862911909818649
178500,16.38,19.38,8.0,0.023661460727453232
179000,20.12,23.12,8.0,0.0297996923327446
179500,19.38,22.38,8.0,0.06460855156183243
180000,15.62,18.62,8.0,0.01705120876431465
180500,19.0,22.0,8.0,0.13242563605308533
181000,19.25,22.25,8.0,0.072267085313797
181500,23.75,26.75,8.0,0.1378038227558136
182000,12.5,15.5,8.0,0.024712271988391876
182500,15.62,18.62,8.0,0.15457291901111603
183000,17.5,20.5,8.0,0.02118949219584465
183500,16.0,19.0,8.0,0.09033685177564621
184000,17.0,20.0,8.0,0.0236539114266634
184500,16.12,19.12,8.0,0.03851679712533951
185000,21.62,24.62,8.0,0.03294645994901657
185500,23.75,26.75,8.0,0.047865886241197586
186000,14.75,17.75,8.0,0.17000804841518402
186500,21.62,24.62,8.0,0.10982062667608261
187000,20.0,23.0,8.0,0.023271165788173676
187500,18.62,21.62,8.0,0.03332643583416939
188000,18.38,21.38,8.0,0.06195921078324318
188500,19.75,22.75,8.0,0.021469099447131157
189000,20.88,23.88,8.0,0.07251007854938507
189500,15.75,18.75,8.0,0.05997895449399948
190000,17.0,20.0,8.0,0.029978908598423004
190500,18.0,21.0,8.0,0.06427896022796631
191000,20.12,23.12,8.0,0.017004599794745445
191500,19.12,22.12,8.0,0.051190465688705444
192000,12.75,15.75,8.0,0.03628692403435707
192500,15.0,18.0,8.0,0.046051908284425735
193000,13.88,16.88,8.0,0.13233812153339386
193500,18.75,21.75,8.0,0.025037677958607674
194000,19.5,22.5,8.0,0.10815981030464172
194500,20.5,23.5,8.0,0.03996087238192558
195000,17.0,20.0,8.0,0.018139509484171867
195500,14.62,17.62,8.0,0.11326482892036438
196000,17.12,20.12,8.0,0.0353880412876606
196500,13.75,16.75,8.0,0.06012340635061264
197000,19.12,22.12,8.0,0.04217718169093132
197500,13.62,16.62,8.0,0.016149364411830902
198000,19.62,22.62,8.0,0.06014767289161682
198500,22.75,25.75,8.0,0.04779764637351036
199000,14.5,17.5,8.0,0.03986828029155731
199500,16.88,19.88,8.0,0.07151202857494354
200000,11.88,14.88,8.0,0.027105160057544708
